wavelength flux
6090.1875 35275.48
6091.4375 34446.33
6092.6875 34938.61
6093.9375 35277.35
6095.1875 35105.23
6096.4375 36092.79
6097.6875 35496.26
6098.9375 35386.14
6100.1875 35295.64
6101.4375 35008.97
6102.6875 35152.7
6103.9375 35128.99
6105.1875 35125.8
6106.4375 34856.26
6107.6875 34657.55
6108.9375 34823.09
6110.1875 35191.31
6111.4375 33808.3
6112.6875 34660.51
6113.9375 34710.12
6115.1875 34335.8
6116.4375 34475.66
6117.6875 33931.98
6118.9375 34210.54
6120.1875 34641.2
6121.4375 34923.26
6122.6875 34722.3
6123.9375 35107.65
6125.1875 34393.25
6126.4375 34494.97
6127.6875 33866.62
6128.9375 33504.81
6130.1875 33240.52
6131.4375 33835.96
6132.6875 34779.22
6133.9375 34428.16
6135.1875 34506.89
6136.4375 34099.02
6137.6875 34226.5
6138.9375 34635.6
6140.1875 34928.13
6141.4375 34861.18
6142.6875 34579.4
6143.9375 34652.04
6145.1875 34064.44
6146.4375 33855.61
6147.6875 33309.37
6148.9375 33120.52
6150.1875 33055.61
6151.4375 33701.91
6152.6875 33645.69
6153.9375 33790.22
6155.1875 33758.28
6156.4375 33734.14
6157.6875 33733.36
6158.9375 33695.07
6160.1875 33735.93
6161.4375 33809.42
6162.6875 33718.24
6163.9375 32426.79
6165.1875 31899.52
6166.4375 32836.22
6167.6875 33839.78
6168.9375 33320.46
6170.1875 33998.83
6171.4375 33547.16
6172.6875 33185.79
6173.9375 33189.31
6175.1875 33264.32
6176.4375 32720.27
6177.6875 33161.9
6178.9375 32857.6
6180.1875 33820.22
6181.4375 33285.34
6182.6875 32685.31
6183.9375 32815.86
6185.1875 32790.63
6186.4375 32652.96
6187.6875 31930.26
6188.9375 31165.96
6190.1875 30639.81
6191.4375 30586.75
6192.6875 31935.46
6193.9375 31232.38
6195.1875 31329.23
6196.4375 32102.07
6197.6875 30868.57
6198.9375 31853.24
6200.1875 31908.3
6201.4375 32587.06
6202.6875 32055.1
6203.9375 32744.82
6205.1875 32390.65
6206.4375 32388.48
6207.6875 32432.46
6208.9375 32638.97
6210.1875 32458.76
6211.4375 32842.08
6212.6875 32594.44
6213.9375 32294.48
6215.1875 32196.76
6216.4375 31951.95
6217.6875 31491.84
6218.9375 31537.79
6220.1875 31096.86
6221.4375 31625.59
6222.6875 31877.51
6223.9375 31883.89
6225.1875 31937.68
6226.4375 31718.25
6227.6875 31763.72
6228.9375 32361.04
6230.1875 31247.46
6231.4375 31733.18
6232.6875 32530.3
6233.9375 32553.51
6235.1875 32609.3
6236.4375 33074.21
6237.6875 31826.23
6238.9375 31532.97
6240.1875 31254.38
6241.4375 31428.76
6242.6875 30781.12
6243.9375 31167.25
6245.1875 30835.37
6246.4375 31666.73
6247.6875 31703.41
6248.9375 31375.8
6250.1875 31351.27
6251.4375 31010.11
6252.6875 31654.44
6253.9375 31692.99
6255.1875 31733.83
6256.4375 32343.51
6257.6875 31881.61
6258.9375 30755.83
6260.1875 29732.8
6261.4375 31157.93
6262.6875 31347.74
6263.9375 31493.86
6265.1875 32016.51
6266.4375 31687.01
6267.6875 30402.43
6268.9375 30466.63
6270.1875 30549.9
6271.4375 30321.33
6272.6875 30971.9
6273.9375 30479.97
6275.1875 31000.96
6276.4375 31267.4
6277.6875 31254.72
6278.9375 31513.96
6280.1875 30812.93
6281.4375 30692.08
6282.6875 30522.16
6283.9375 30178.88
6285.1875 30122.77
6286.4375 30829.1
6287.6875 31519.41
6288.9375 31494.08
6290.1875 30437.55
6291.4375 31340.17
6292.6875 30835.92
6293.9375 31891.79
6295.1875 31745.37
6296.4375 29692.49
6297.6875 33209.02
6298.9375 65088.53
6300.1875 108596.61
6301.4375 94347.65
6302.6875 44499.77
6303.9375 30792.19
6305.1875 30477.62
6306.4375 31431.82
6307.6875 31461.71
6308.9375 29489.78
6310.1875 29271.57
6311.4375 29016.14
6312.6875 29470.19
6313.9375 29422.25
6315.1875 30215.54
6316.4375 31303.25
6317.6875 30349.32
6318.9375 31370.08
6320.1875 30895.7
6321.4375 31768.4
6322.6875 30709.56
6323.9375 30783.23
